tree,K,distribution,iteration,size,insert,lookup,remove
32std::set,32,cluster,1,65536,68.8385,74.24,52.7725
32std::set,32,cluster,1,131072,73.4421,95.6,53.1174
32std::set,32,cluster,1,262144,67.3599,154.67,58.9096
32std::set,32,cluster,1,524288,68.8433,231.66,58.7639
32std::set,32,cluster,1,1048576,69.7784,321.56,60.4843
32std::set,32,cluster,1,2097152,72.1845,403.66,63.6545
32std::set,32,cluster,1,4194304,75.4924,563.38,65.6424
32std::set,32,cluster,1,8388608,77.6925,791.47,68.2009
32std::set,32,cluster,2,32,171.875,5.09,106.25
32std::set,32,cluster,2,64,284.375,7.77,62.5
32std::set,32,cluster,2,128,198.438,19.88,68.75
32std::set,32,cluster,2,256,54.2969,7.73,36.7188
32std::set,32,cluster,2,512,87.6953,11.85,46.875
32std::set,32,cluster,2,1024,73.6328,18.64,49.0234
32std::set,32,cluster,2,2048,69.4336,9.76,45.6543
32std::set,32,cluster,2,4096,64.6729,15.01,54.0283
32std::set,32,cluster,2,8192,61.4624,17.2,41.0767
32std::set,32,cluster,2,16384,60.2966,25.01,44.1711
32std::set,32,cluster,2,32768,61.7706,39.95,45.6146
32std::set,32,cluster,2,65536,59.5078,64.68,50.4608
32std::set,32,cluster,2,131072,58.1192,104.15,60.2852
32std::set,32,cluster,2,262144,62.1159,157.34,60.0929
32std::set,32,cluster,2,524288,62.0535,233.1,58.8642
32std::set,32,cluster,2,1048576,63.2709,328.68,61.0464
32std::set,32,cluster,2,2097152,65.4314,430.33,63.6449
32std::set,32,cluster,2,4194304,67.971,578.2,65.3896
32std::set,32,cluster,2,8388608,72.1073,825.45,66.7944
32std::set,32,cluster,3,32,171.875,4.56,103.125
